-----------------------------------------------------------------------------------------------------------
+--------+----------+----------+------------------------------------+------+----------+-----------+--------------+-------------+----------+---------------------------------------------------+
|accuracy|accuracy_x|accuracy_y|address                             |id    |lat       |lng        |speed         |time         |types     |uuid                                               |
|5.666   |null      |null      |null                                |962706|37.2580953|126.9734959|17.758665     |1585685978313|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|3.98    |null      |null      |null                                |962707|37.2577307|126.9735317|19.588148     |1585685980376|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|3.8     |null      |null      |null                                |962708|37.2573675|126.9735621|19.817331     |1585685982283|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|3.616   |null      |null      |null                                |962709|37.256998 |126.973594 |19.712294     |1585685984292|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|3.45    |null      |null      |null                                |962710|37.25664  |126.9736306|19.056776     |1585685986283|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|3.45    |null      |null      |null                                |962711|37.256297 |126.9736747|18.221218     |1585685988291|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|3.45    |null      |null      |null                                |962712|37.2559782|126.9737068|17.056965     |1585685990285|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|3.45    |null      |null      |null                                |962713|37.2556831|126.9737694|16.532389     |1585685992283|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|3.54    |null      |null      |null                                |962714|37.2553953|126.9738486|16.432812     |1585685994284|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|3.56    |null      |null      |null                                |962715|37.2551101|126.9739344|15.329126     |1585685996300|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|3.65    |null      |null      |null                                |962716|37.2548796|126.974014 |12.723643     |1585685998285|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|4.0     |null      |null      |null                                |962717|37.2547361|126.9740692|5.832123      |1585686000285|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|4.0     |null      |null      |null                                |962718|37.2546794|126.9740681|3.9273264     |1585686002281|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|4.333   |null      |null      |null                                |962719|37.2546458|126.9739969|3.758218      |1585686004283|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|4.666   |null      |null      |null                                |962720|37.2546475|126.9739148|3.2984636     |1585686006284|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|5.103   |null      |null      |null                                |962721|37.2546475|126.9738525|2.5087569     |1585686008283|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|4.436   |null      |null      |null                                |962722|37.2546466|126.9738187|1.2711067     |1585686010285|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|4.374   |null      |null      |null                                |962723|37.2546479|126.9738255|0.002003595   |1585686012281|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|4.438   |null      |null      |null                                |962724|37.2546488|126.973832 |0.0012790764  |1585686014280|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|4.384   |null      |null      |null                                |962725|37.254649 |126.9738333|1.1459203E-4  |1585686016278|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|10.64   |null      |null      |null                                |962726|37.2546498|126.973843 |0.12039855    |1585686019091|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|23.83   |null      |null      |null                                |962727|37.2546602|126.9739697|4.070248      |1585686020952|END       |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|34.5    |null      |null      |null                                |969714|37.0520377|127.0495798|2.2139497     |1585727719404|START     |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|25.666  |null      |null      |대한민국 경기도 평택시 서정동 698-15|969715|37.0520654|127.0492107|14.382912     |1585727721109|OVER_ACCEL|000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|9.304   |null      |null      |null                                |969716|37.0520312|127.0488507|15.149855     |1585727723140|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|7.876   |null      |null      |null                                |969717|37.0519937|127.048516 |14.31785      |1585727725129|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|7.188   |null      |null      |null                                |969718|37.051954 |127.0482019|13.007271     |1585727727319|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|5.6     |null      |null      |null                                |969719|37.0519299|127.0479671|11.13372      |1585727729142|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
